time_s,altitude_ft,airspeed_kts,vspeed_fpm,pitch_deg,roll_deg,heading_deg,throttle,rpm
0.09,3000.0,89.9,-0,0.31,-0.02,90.0,0.021,0
0.19,2999.9,89.7,-0,1.15,-0.08,90.0,0.031,0
0.29,2999.8,89.5,-0,2.10,-0.17,90.0,0.044,0
0.39,2999.7,89.3,-0,2.93,-0.29,90.0,0.058,0
0.49,2999.8,89.1,-0,3.55,-0.43,90.0,0.072,0
0.59,3000.0,88.8,-0,3.98,-0.59,90.0,0.087,0
0.69,3000.3,88.5,-0,4.27,-0.75,90.1,0.102,0
0.79,3000.7,88.3,-0,4.48,-0.91,90.1,0.117,0
0.89,3001.2,88.0,-0,4.65,-1.06,90.1,0.133,0
0.99,3001.7,87.7,-0,4.81,-1.21,90.1,0.148,0
1.09,3002.3,87.4,-0,4.98,-1.34,90.1,0.164,0
1.19,3003.0,87.1,-0,5.15,-1.47,90.1,0.181,0
1.29,3003.8,86.8,-0,5.32,-1.59,90.1,0.198,0
1.39,3004.5,86.5,-0,5.49,-1.70,90.1,0.215,0
1.49,3005.4,86.2,-0,5.65,-1.80,90.1,0.233,0
1.59,3006.2,85.9,-0,5.79,-1.88,90.0,0.251,0
1.69,3007.1,85.6,-0,5.92,-1.96,90.0,0.269,0
1.79,3008.1,85.2,-0,6.03,-2.04,90.0,0.287,0
1.89,3009.0,84.9,-0,6.13,-2.10,89.9,0.306,0
1.99,3010.0,84.6,-0,6.22,-2.16,89.8,0.325,0
2.09,3011.0,84.3,-0,6.29,-2.21,89.8,0.344,0
2.19,3012.1,84.0,-0,6.35,-2.25,89.7,0.363,0
2.29,3013.1,83.6,-0,6.40,-2.29,89.6,0.382,0
2.39,3014.2,83.3,-0,6.43,-2.32,89.6,0.402,0
2.49,3015.3,83.0,-0,6.46,-2.35,89.5,0.421,0
2.59,3016.3,82.7,-0,6.48,-2.38,89.4,0.441,0
2.69,3017.4,82.3,-0,6.48,-2.40,89.3,0.460,0
2.79,3018.5,82.0,-0,6.48,-2.41,89.2,0.480,0
2.89,3019.5,81.7,-0,6.46,-2.42,89.1,0.499,0
2.99,3020.6,81.4,-0,6.44,-2.43,89.1,0.519,0
3.09,3021.6,81.1,-0,6.41,-2.44,89.0,0.539,0
3.19,3022.7,80.8,-0,6.37,-2.44,88.9,0.559,0
3.29,3023.7,80.5,-0,6.32,-2.43,88.9,0.578,0
3.39,3024.7,80.2,-0,6.27,-2.43,88.8,0.598,0
3.49,3025.7,79.9,-0,6.20,-2.42,88.7,0.618,0
3.59,3026.6,79.6,-0,6.13,-2.40,88.7,0.637,0
3.69,3027.6,79.3,-0,6.05,-2.38,88.6,0.657,0
3.79,3028.5,79.0,-0,5.97,-2.36,88.6,0.676,0
3.89,3029.4,78.7,-0,5.88,-2.33,88.5,0.696,0
3.99,3030.3,78.4,-0,5.78,-2.30,88.5,0.715,0
4.09,3031.1,78.1,-0,5.68,-2.26,88.4,0.734,0
4.19,3031.9,77.9,-0,5.57,-2.22,88.4,0.753,0
4.29,3032.7,77.6,-0,5.45,-2.17,88.3,0.772,0
4.39,3033.4,77.3,-0,5.33,-2.12,88.3,0.791,0
4.49,3034.1,77.1,-0,5.21,-2.07,88.3,0.810,0
4.59,3034.8,76.8,-0,5.08,-2.01,88.2,0.828,0
4.69,3035.4,76.6,-0,4.94,-1.95,88.2,0.847,0
4.79,3036.0,76.4,-0,4.80,-1.88,88.1,0.865,0
4.89,3036.5,76.1,-0,4.66,-1.81,88.1,0.883,0
4.99,3037.0,75.9,-0,4.51,-1.74,88.1,0.901,0
5.09,3037.5,75.7,-0,4.36,-1.66,88.0,0.919,0
5.19,3037.9,75.5,-0,4.21,-1.58,88.0,0.936,0
5.29,3038.3,75.2,-0,4.05,-1.50,87.9,0.953,0
5.39,3038.7,75.0,-0,3.89,-1.41,87.9,0.970,0
5.49,3039.0,74.8,-0,3.73,-1.32,87.9,0.987,0
5.59,3039.2,74.6,-0,3.56,-1.24,87.8,1.000,0
5.69,3039.4,74.5,-0,3.40,-1.15,87.8,1.000,0
5.79,3039.6,74.3,-0,3.23,-1.05,87.8,1.000,0
5.89,3039.7,74.1,-0,3.06,-0.96,87.7,1.000,0
5.99,3039.8,73.9,-0,2.89,-0.87,87.7,1.000,0
6.09,3039.9,73.8,-0,2.72,-0.78,87.7,1.000,0
6.19,3039.9,73.6,-0,2.54,-0.68,87.6,1.000,0
6.29,3039.8,73.5,-0,2.37,-0.59,87.6,1.000,0
6.39,3039.7,73.3,-0,2.20,-0.50,87.6,1.000,0
6.49,3039.6,73.2,-0,2.02,-0.41,87.5,1.000,0
6.59,3039.4,73.1,-0,1.85,-0.32,87.5,1.000,0
6.69,3039.2,73.0,-0,1.68,-0.23,87.5,1.000,0
6.79,3038.9,72.8,-0,1.51,-0.14,87.5,1.000,0
6.89,3038.6,72.7,-0,1.34,-0.05,87.5,1.000,0
6.99,3038.2,72.6,-0,1.17,0.04,87.5,1.000,0
7.09,3037.8,72.5,-0,1.00,0.12,87.5,1.000,0
7.19,3037.4,72.4,-0,0.83,0.20,87.5,1.000,0
7.29,3036.9,72.3,-0,0.66,0.28,87.5,1.000,0
